timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.63608E+12,270,Post HTTP Request,200,,POST Customer Group 6-18,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,269,0,0
1.63608E+12,436,Get HTTP Request,200,,GET Customer Group 5-6,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,436,0,0
1.63608E+12,429,Post HTTP Request,200,,POST Owner Group 2-14,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,429,0,0
1.63608E+12,425,Get HTTP Request,200,,GET Product Group 7-2,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,425,0,0
1.63608E+12,1224,Post HTTP Request,200,,POST Bill Group 13-20,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,1223,0,792
1.63608E+12,432,Post HTTP Request,200,,POST Owner Group 2-5,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,432,0,0
1.63608E+12,1242,Get HTTP Request,200,,GET Product Group 7-20,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,1242,0,807
1.63608E+12,409,Post HTTP Request,200,,POST Product Group 8-2,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,409,0,0
1.63608E+12,417,Post HTTP Request,200,,POST Staff Group 4-17,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,417,0,0
1.63608E+12,428,Post HTTP Request,200,,POST Owner Group 2-4,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,428,0,0
1.63608E+12,481,Get HTTP Request,200,,GET CustomerOrder Group 9-7,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,469,0,0
